,0,1,2,3
0,16.0,17.0,1.4900323436996754,2.0
1,21.0,25.0,1.564143657581514,2.0
2,9.0,30.0,1.7669263038661627,2.0
3,32.0,38.0,1.7937893315210987,2.0
4,29.0,43.0,1.852132902710809,3.0
5,20.0,35.0,1.8615292752576071,2.0
6,5.0,41.0,1.9155365196214131,2.0
7,11.0,14.0,2.0030010245678445,2.0
8,4.0,28.0,2.0105969099848156,2.0
9,3.0,46.0,2.0264659152954256,4.0
10,36.0,44.0,2.079762803927484,3.0
11,15.0,42.0,2.167342390037971,3.0
12,31.0,34.0,2.193782287415116,2.0
13,6.0,45.0,2.283650218905058,3.0
14,47.0,49.0,2.4069295004044573,4.0
15,19.0,26.0,2.4231602848594216,2.0
16,33.0,50.0,2.485152011022615,3.0
17,18.0,48.0,2.580267010718099,3.0
18,0.0,1.0,2.6368748580685115,2.0
19,23.0,51.0,2.657798512807673,5.0
20,52.0,53.0,2.657955322978562,6.0
21,57.0,59.0,2.7495266709182324,5.0
22,12.0,54.0,2.795675262664283,3.0
23,58.0,61.0,2.8679280214378045,8.0
24,55.0,62.0,2.927241866281777,9.0
25,2.0,60.0,2.9425343500458148,3.0
26,39.0,63.0,3.155630357918711,6.0
27,40.0,66.0,3.185638563582959,10.0
28,65.0,69.0,3.3053255902450047,18.0
29,8.0,13.0,3.314404770019436,2.0
30,68.0,70.0,3.608183611420383,24.0
31,64.0,67.0,3.6525521013326134,6.0
32,10.0,22.0,3.8133061123938714,2.0
33,56.0,72.0,3.8343703756384486,28.0
34,37.0,73.0,3.859318872582668,7.0
35,75.0,76.0,4.826469368456071,35.0
36,74.0,77.0,5.322364187971877,37.0
37,71.0,78.0,5.61874220087733,39.0
38,24.0,27.0,7.605501090770946,2.0
39,7.0,79.0,7.909442259527011,40.0
40,80.0,81.0,9.860992473685991,42.0
