,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Siruta,Judet,Populatie
0,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768,bn,1961
1,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107519,mm,3085
2,Budesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168791,vl,5964
3,Budesti,80981.0,0.0,40416.0,0.0,0.0,843618.0,0.0,0.0,0.0,32768,bn,1961
4,Budesti,80981.0,0.0,40416.0,0.0,0.0,843618.0,0.0,0.0,0.0,107519,mm,3085
5,Budesti,80981.0,0.0,40416.0,0.0,0.0,843618.0,0.0,0.0,0.0,168791,vl,5964
6,Budesti,776643.0,0.0,36404255.0,9643876.0,0.0,0.0,0.0,88539.0,0.0,32768,bn,1961
7,Budesti,776643.0,0.0,36404255.0,9643876.0,0.0,0.0,0.0,88539.0,0.0,107519,mm,3085
8,Budesti,776643.0,0.0,36404255.0,9643876.0,0.0,0.0,0.0,88539.0,0.0,168791,vl,5964
9,Sahateni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49153,bz,3397
10,Cojocna,1085554.0,0.0,0.0,0.0,0.0,0.0,0.0,599858.0,0.0,57350,cj,4189
11,Lunca Cernii De Jos,0.0,0.0,3660.0,0.0,0.0,0.0,0.0,0.0,0.0,90119,hd,887
12,Poiana Mare,3022374.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73736,dj,10675
13,Bunesti,87595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40704,bv,2687
14,Bunesti,87595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147465,sv,2769
15,Bunesti,87595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168960,vl,2810
16,Bunesti,0.0,0.0,31450.0,0.0,0.0,0.0,0.0,0.0,0.0,40704,bv,2687
17,Bunesti,0.0,0.0,31450.0,0.0,0.0,0.0,0.0,0.0,0.0,147465,sv,2769
18,Bunesti,0.0,0.0,31450.0,0.0,0.0,0.0,0.0,0.0,0.0,168960,vl,2810
19,Bunesti,121513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40704,bv,2687
20,Bunesti,121513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147465,sv,2769
21,Bunesti,121513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168960,vl,2810
22,Bara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155662,tm,323
23,Valea Vinului,0.0,0.0,16495008.0,0.0,0.0,0.0,0.0,0.0,0.0,139287,sm,2001
24,Oras Ludus,206212598.0,3801152.0,397298.0,150145262.0,2751670.0,0.0,0.0,4467073.0,92.0,114710,ms,17606
25,Grumazesti,9530486.0,0.0,192715.0,0.0,1749463.0,0.0,0.0,0.0,0.0,122908,nt,5488
26,Oras Breaza,2803609.0,94457927.0,527290.0,0.0,0.0,12013025.0,0.0,96280.0,0.0,131103,ph,16766
27,Fundata,0.0,0.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,40991,bv,785
28,Plugari,23939.0,16334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98337,is,3536
29,Vadu Motilor,0.0,0.0,1443175.0,0.0,0.0,0.0,0.0,0.0,0.0,8229,ab,1375
30,Dobresti,208569.0,0.0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0,16427,ag,1783
31,Dobresti,208569.0,0.0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0,29154,bh,5456
32,Dobresti,208569.0,0.0,877000.0,0.0,0.0,0.0,0.0,0.0,0.0,72098,dj,2394
33,Dobresti,806518.0,298772.0,546574.0,0.0,0.0,0.0,0.0,8380.0,0.0,16427,ag,1783
34,Dobresti,806518.0,298772.0,546574.0,0.0,0.0,0.0,0.0,8380.0,0.0,29154,bh,5456
35,Dobresti,806518.0,298772.0,546574.0,0.0,0.0,0.0,0.0,8380.0,0.0,72098,dj,2394
36,Dobresti,585424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16427,ag,1783
37,Dobresti,585424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29154,bh,5456
38,Dobresti,585424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72098,dj,2394
39,Caianu Mic,0.0,358640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32811,bn,4316
40,Predesti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73772,dj,2085
41,Pausesti-Maglasi,4145616.0,1981.0,9593899.0,0.0,0.0,0.0,0.0,101733.0,0.0,172082,vl,4013
42,Sapoca,63187.0,20945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49206,bz,3428
43,Poduri,1933.0,0.0,281144.0,0.0,0.0,0.0,0.0,0.0,0.0,24631,bc,8151
44,Gagesti,4483.0,0.0,243278.0,0.0,0.0,0.0,0.0,0.0,0.0,163903,vs,2006
45,Municipiul Sighetu Marmatiei,13634217.0,13786525.0,92511206.0,0.0,0.0,8817684.0,0.0,328055712.0,6909535.0,106559,mm,44145
46,Vama,262055.0,3190225.0,0.0,0.0,458342.0,0.0,0.0,67246.0,0.0,139330,sm,4095
47,Vama,262055.0,3190225.0,0.0,0.0,458342.0,0.0,0.0,67246.0,0.0,150935,sv,6189
48,Vama,1317992.0,0.0,22806111.0,0.0,0.0,0.0,0.0,831.0,0.0,139330,sm,4095
